Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
2397,73329758,sharath_haritas,1562836601524600834,2022-08-25 16:17:36+00:00,"If this is the condition of hindus in spite of Constitution,rule of law, police,political power then just imagine how hindus would have lived under mughals and savages like tipu and khilji #SarTanSeJuda",en,0,167,if this is the condition of hindu in spite of constitution rule of law police political power then just imagine how hindu would have lived under mughals and savage like tipu and khilji 
2398,1537016842627076096,ministry160,1562835733781438464,2022-08-25 16:14:09+00:00,"@nbramllb @aimim_national @TigerRajaSingh @shomangalhat There were no #SarTanSeJuda when #ZakirNaik said it 

But there is #SarTanSeJuda when @NupurSharmaBJP and #RajaSingh said the same 

Understand where the problem lies 

 https://t.co/uWSznDVrMz",en,0,47,there were no when said it but there is when and said the same understand where the problem lie URL 
2399,790239872,tapasisadhukhan,1562835118947172353,2022-08-25 16:11:43+00:00,@republic @PrinceArihan Please ask 'is #SarTanSeJuda a massage of peace and pelting stones on Hindus is the way of spreading love on Hindus and is the #SarTanSeJuda is the thread of the tanabana of the #Secularism of this country'? Please discuss what T Raja has said so that we can know the truth.,en,0,16,please ask is massage of peace and pelting stone on hindu is the way of spreading love on hindu and is the is the thread of the tanabana of the of this country please discus what raja ha said so that we can know the truth 
2401,861118745351258117,dil2bachhahaij,1562834769787817986,2022-08-25 16:10:19+00:00,It's very important to finish #SarTanSeJuda #IslamicTerrorismInIndia from roots. These #jihadis are getting monetory support from #Bollywood. Just #BoycottbollywoodForever #BoycottbollywoodCompletely #BoycottVikramVedha #BoycottLiger and you will see how these things will end. https://t.co/1MyZD3wUmB,en,0,208,it very important to finish from root these are getting monetory support from just and you will see how these thing will end URL 
2402,1464481767503667201,ravi_limbad,1562834628578160643,2022-08-25 16:09:46+00:00,#SarTanSeJuda  this slogan from Religion of peace 😁😡#islam,en,0,3,this slogan from religion of peace 
2403,4125368654,nayan_dwivedi,1562834462530228225,2022-08-25 16:09:06+00:00,"I spoke about how all those who raise murderous slogan of #SarTanSeJuda should be held under preventive detention &amp; today police arrested #TRajaSingh under the same act. 
Meanwhile the blood thirsty mob still roams free. 

Aggressor bcms the victim &amp; victim is made the culprit 🤦🏽‍♂️ https://t.co/D2VAe4c5T3",en,0,498,spoke about how all those who raise murderous slogan of should be held under preventive detention amp today police arrested under the same act meanwhile the blood thirsty mob still roams free aggressor bcms the victim amp victim is made the culprit URL 
2404,2261350952,prafullaketkar,1562834386734592000,2022-08-25 16:08:48+00:00,". #Pakistan : Hindu man, falsely accused of desecrating of the Quran attacked by a violent mob, faces blasphemy charges......
The same mindset is being propagated by some with #SarTanSeJuda sloganeering 
Read more at: https://t.co/TIY9vdVWki",en,0,41722,hindu man falsely accused of desecrating of the quran attacked by violent mob face blasphemy charge the same mindset is being propagated by some with sloganeering read more at URL 
2406,1555600005993746434,MithilaWaala,1562834363108433920,2022-08-25 16:08:42+00:00,"@Debasis72211429 Did he took any name?? Why u defending terr0rists who giving #SarTanSeJuda threats, are u sure u a Human",en,1,66,did he took any name why defending terr0rists who giving threat are sure human 
2407,1539286557445611521,Hindush8,1562834200402673664,2022-08-25 16:08:04+00:00,"Ram Ram🚩🚩

#ProphetMuhammad #SarTanSeJuda #TRajaSingh https://t.co/iEBQkf8SNm",en,0,198,ram ram URL 
2410,1320378734222790658,ImThinking_0,1562833790132957185,2022-08-25 16:06:26+00:00,@ShefVaidya Hindus need to come on the street in large numbers to protest and force the judiciary and lawmakers to ban this #SarTanSeJuda murderous slogan.,en,0,16,hindu need to come on the street in large number to protest and force the judiciary and lawmaker to ban this murderous slogan 
2411,1507349126677090309,ASatanalkar2,1562833778099523586,2022-08-25 16:06:23+00:00,"There is only one solution to the community that says #SarTanSeJuda 
Boycott their community economically. 

#RajaSingh  #isupportrajasingh  #TRajaSingh  #NupurSharma  #HindusUnderAttack 

Salute this man🙏 #HindusUnderAttack https://t.co/ay9c0S9y2i",en,0,53,there is only one solution to the community that say boycott their community economically salute this man URL 
