Unnamed: 0,user_id,username,id,date,Tweet,lang,replyCount,followersCount,preprocessed_text
17872,126612594,editoraju,1569262637992779782,2022-09-12 09:52:23+00:00,"@AmanChopra_ The #BharatJodoYatra is not for inflation, unemployment or safety.
With this mentality #Congress proved that, the yatra is to get the PM post at any cost.
They knows that in BJP rule they can't do the scans, scandals, money laundering and they will catch the all culprits.",en,0,572,the is not for inflation unemployment or safety with this mentality proved that the yatra is to get the pm post at any cost they know that in bjp rule they can do the scan scandal money laundering and they will catch the all culprit 
17873,1579680481,NSUITamilNadu,1569262635560075266,2022-09-12 09:52:22+00:00,"You don't need to be an athlete to participate in the #BharatJodoYatra but it doesn't hurt to be one! 

We welcome Arjuna Awardee &amp; renowned athlete, Pamini Thomas on the march for India's unity, along with Rahul Gandhi. https://t.co/8bbQIAAOaY",en,0,8490,you don need to be an athlete to participate in the but it doesn hurt to be one we welcome arjuna awardee amp renowned athlete pamini thomas on the march for india unity along with rahul gandhi URL 
17878,825444720591581184,shankar6763,1569262528462753795,2022-09-12 09:51:56+00:00,"#Congress ""Youth Leader"" the 👉52-year old 👈  @RahulGandhi 'skipped' the inauguration of a #memorial for #freedom_fighters K E Mammen and P Gopinathan Nair in Thiruvananthapuram.

Even as Rahul Gandhi led #BharatJodoYatra passed through the...1/2",en,1,771,youth leader the 52 year old skipped the inauguration of for mammen and gopinathan nair in thiruvananthapuram even a rahul gandhi led passed through the 
17880,1098635092379938818,SevadalKPN,1569262496435027970,2022-09-12 09:51:49+00:00,"https://t.co/FTLhM81Zo3
Please follow the handle of Facebook uttar-pradesh sevadal
#BharatJodoYatra https://t.co/ScXNaUN3OX",en,2,1020,URL follow the handle of facebook uttar pradesh sevadal URL 
17881,1143925188855074817,MayaBhardwaj11,1569262479158693890,2022-09-12 09:51:45+00:00,@CorinneBlogs this is amazing. they have power and they speak power. such inspiring women leaders walking with Rahul Gandhi in #BharatJodoYatra.,en,0,564,this is amazing they have power and they speak power such inspiring woman leader walking with rahul gandhi in 
17883,831465726,RanajitSpeaks,1569262453489377281,2022-09-12 09:51:39+00:00,For @cpimspeak to criticise #BharatJodoYatra is the height of hypocrisy. https://t.co/FfBDzCaZmC,en,0,6366,for to criticise is the height of hypocrisy URL 
17889,117968743,SoULinStillNESS,1569262390377857024,2022-09-12 09:51:24+00:00,#RaGa is rocking with love from the people of India through #BharatJodoYatra towards #BharatJodo,en,0,830,is rocking with love from the people of india through towards 
17890,16323656,nsui,1569262380009541632,2022-09-12 09:51:21+00:00,"You don't need to be an athlete to participate in the #BharatJodoYatra but it doesn't hurt to be one! 

We welcome Arjuna Awardee &amp; renowned athlete, Pamini Thomas on the march for India's unity, along with Rahul Gandhi. https://t.co/PupGNbDBhK",en,2,491608,you don need to be an athlete to participate in the but it doesn hurt to be one we welcome arjuna awardee amp renowned athlete pamini thomas on the march for india unity along with rahul gandhi URL 
17895,3289462729,Johnthanpui_,1569262227093585921,2022-09-12 09:50:45+00:00,"INC loot is much more than Britishers.

Why India so much backward compared to other countries?

Many journalists are hurt due to unexpected sudden #BharatJodoYatra 🤣🤣🤣 https://t.co/jge5tzhsnJ",en,0,445,inc loot is much more than britisher why india so much backward compared to other country many journalist are hurt due to unexpected sudden URL 
17897,974143844,VanathiBJP,1569262206868680705,2022-09-12 09:50:40+00:00,"Real mindset of Congress - Burn the country, Break India, Burn opponents, Protect Anti- India and Anti- Hindu forces!

Congress wish to burn the unity of the nation with their hate.  The #BharatJodoYatra is all about this! https://t.co/vpdboFOSe6",en,14,267242,real mindset of congress burn the country break india burn opponent protect anti india and anti hindu force congress wish to burn the unity of the nation with their hate the is all about this URL 
17902,1219340101,raalferns,1569262111905431553,2022-09-12 09:50:17+00:00,"@sakshijoshii 
A little astounded, that a fierce fighter for our Freedom rights..a voice echoing the ills of the country..
Have you tweeted, or made your usual daily videos, on the current
#BharatJodoYatra   ??
I missed viewing if you have posted..if not, why not ???",en,1,1074,little astounded that fierce fighter for our freedom right voice echoing the ill of the country have you tweeted or made your usual daily video on the current missed viewing if you have posted if not why not 
17903,1109095298385801218,Iamnotcommunal,1569262109761888258,2022-09-12 09:50:17+00:00,@ANI His reaction says the picture is on target and #BharatJodoYatra  is doing very well.,en,0,2563,his reaction say the picture is on target and is doing very well 
17909,1220596154255036417,beDipuGupta,1569262010281480192,2022-09-12 09:49:53+00:00,"Watch till the end 🤣🤣😂😝😝😂🤣

#BharatJodoYatra #BharatJodo 🇮🇳💕 https://t.co/JerefAMFwV",en,0,565,watch till the end URL 
17910,2920470055,ashrosarioingo1,1569261977956159491,2022-09-12 09:49:45+00:00,"The Left, particularly @cpimspeak, isn't amused with the @RahulGandhi image-building #BharatJodoYatra. https://t.co/pJdBC6WEUr",en,0,874,the left particularly isn amused with the image building URL 
17913,1349283674584334337,yoursamitjha,1569261946092003328,2022-09-12 09:49:38+00:00,"GET WELL SOON @smritiirani . I understand it's hard time for you #Silly_Soul_Bar_Wali 
#BharatJodoYatra https://t.co/z4yiUHK0Og",en,0,1316,get well soon understand it hard time for you URL 
17915,2164531771,ArafaSadiq,1569261932753915904,2022-09-12 09:49:34+00:00,"Bharath Jodo Yatra is bringing hope.
We can not leave India in the claws of Fascists.
Rahul Gandhi will be the voice of every Indian.
#BharatJodoYatra #azadi 
@RahulGandhi",en,0,60,bharath jodo yatra is bringing hope we can not leave india in the claw of fascist rahul gandhi will be the voice of every indian 
17916,1364569398091145218,Ajay51830120,1569261852324143104,2022-09-12 09:49:15+00:00,"https://t.co/fpc5YwDb36

Must Watch n Listen 2
@RahulGandhi

 BJP n RSS May Hv Deir Opinions
We Welcome Dem 2 Share Deir
Views
We Hv No Grudge 4 Those
We Hv Our Opinion
Our Aim Is
2 Know D Ground Realities Of
D Nation n Problems Faced By Our 
People Via Dis #BharatJodoYatra",en,2,1446,URL watch listen bjp r may hv deir opinion we welcome dem share deir view we hv no grudge those we hv our opinion our aim is know ground reality of nation problem faced by our people via dis 
17921,1400452312116523012,Baharat_jodo,1569261778638614528,2022-09-12 09:48:58+00:00,"In their eyes we see innocence.
In their eyes we see hope.

We will not let that glint fade away because a few have taken the easy path of hate.

India's dreams will shine on 🇮🇳

#BharatJodoYatra https://t.co/vHQzTgLLbc",en,0,1302,in their eye we see innocence in their eye we see hope we will not let that glint fade away because few have taken the easy path of hate india dream will shine on URL 
17926,1568494525470973955,Dut1Lokesh,1569261650523586568,2022-09-12 09:48:27+00:00,"@kanhaiyakumar Jion steps with @RahulGandhi for unite, peace and prosperous India 🇮🇳 🙏 
#BharatJodoYatra",en,0,0,jion step with for unite peace and prosperous india 
17930,1400452312116523012,Baharat_jodo,1569261600363921408,2022-09-12 09:48:15+00:00,"You don't need to be an athlete to participate in the #BharatJodoYatra but it doesn't hurt to be one! 

We welcome Arjuna Awardee &amp; renowned athlete, Pamini Thomas on the march for India's unity, along with @RahulGandhi https://t.co/Ru0Jerhwoy",en,0,1302,you don need to be an athlete to participate in the but it doesn hurt to be one we welcome arjuna awardee amp renowned athlete pamini thomas on the march for india unity along with URL 
17931,1559368067586502656,ANURAGS43994956,1569261574078230530,2022-09-12 09:48:09+00:00,"@sudhirchaudhary When you stop criticism on our team 

Someday you win someday you loose 

Don't be fool 

You are a propogandaist person

Is this your propoganda for today to avoide #BharatJodoYatra",en,1,10,when you stop criticism on our team someday you win someday you loose don be fool you are propogandaist person is this your propoganda for today to avoide 
17933,1198137937881206785,ChinmayVasishth,1569261565182103552,2022-09-12 09:48:07+00:00,"@INCIndia Burning RSS? All i see is hate! 
The irony is @INCIndia is doing this on #BharatJodoYatra",en,0,61,burning r all see is hate the irony is is doing this on 
17939,1449809358313775108,MPYCSEN24,1569261442745909249,2022-09-12 09:47:38+00:00,"SILLY SOUL @smritiirani !!

#BharatJodoYatra https://t.co/LO0TxIVdnc",en,0,217,silly soul URL 
17940,130409222,AmardeepP111,1569261364082016257,2022-09-12 09:47:19+00:00,"@INCIndia Let us all join hands to free the country from shackles of hate and undo the damage done by BJP-RSS.

#BharatJodoYatra 🇮🇳✋🏻
#WithRahulGandhi https://t.co/CXyBmKVGcB",en,0,2528,let u all join hand to free the country from shackle of hate and undo the damage done by bjp r URL 
17945,1211700995312369670,SevadalDNW,1569261267185184772,2022-09-12 09:46:56+00:00,"Perfect response to the TRAITORS...

#BharatJodoYatra https://t.co/zClBkhSYpn",en,3,527,perfect response to the traitor URL 
17956,1428234241347768322,Mohan08417213,1569260989048299521,2022-09-12 09:45:49+00:00,"Hate of @BJP4India  @RSSorg  left  such a symbolic United India into the oblivion. 
#BharatJodoYatra https://t.co/k6DiCb5HPe https://t.co/cQtuxqiRbB",en,0,163,hate of left such symbolic united india into the oblivion URL URL 
17960,16804541,kukk44,1569260940822204420,2022-09-12 09:45:38+00:00,"Sung by 
Siddu Moosevala BGM 🙏🏻

“If the deaf have to hear, the sound has to be very loud""
Bhagat Singh 
#BharatJodoYatra https://t.co/fnPbFx1xUG",en,6,19794,sung by siddu moosevala bgm if the deaf have to hear the sound ha to be very loud bhagat singh URL 
17963,1567760756216836097,spritualhappy,1569260915211800576,2022-09-12 09:45:32+00:00,We would love❤️ to see @varungandhi80 join #BharatJodoYatra. https://t.co/V7eFWC5X2I,en,0,3,we would love to see join URL 
17968,2860584701,manjujadhav_,1569260825944420352,2022-09-12 09:45:11+00:00,"Common goals!

One is a striker, and the other one a defender. Great to have them on the team 🇮🇳

#BharatJodoYatra

Facebook: https://t.co/irCIzpI91O https://t.co/RPGLLieDBv",en,0,2177,common goal one is striker and the other one defender great to have them on the team facebook URL URL 
17970,1489633022613676037,SevadalNuh,1569260770365677569,2022-09-12 09:44:57+00:00,"Shri @RahulGandhi paying floral tribute at Martyrs' Column in Palayam. 

#BharatJodoYatra salutes the supreme sacrifice made by our bravehearts. https://t.co/POnPnEniuw",en,0,386,shri paying floral tribute at martyr column in palayam salute the supreme sacrifice made by our bravehearts URL 
17976,1503195639672311810,SevadalSKO,1569260673837977600,2022-09-12 09:44:34+00:00,"Ms @priyankagandhi ji to join the historic #BharatJodoYatra on September 19,
🇮🇳Bharat Jodo🇮🇳 https://t.co/Qqkd5dpmwD",en,0,394,m ji to join the historic on september 19 bharat jodo URL 
17978,358707301,Save__India,1569260603801497601,2022-09-12 09:44:18+00:00,Comrades of smuggling aren't far behind #BharatJodoYatra https://t.co/EY6fSG3b68,en,0,1727,comrade of smuggling aren far behind URL 
